round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.423,0.3874,0.5594,0.2648,0.4658,0.4373,0.3874,0.5594,0.2648,0.4658,0.4373,False
2,1.0,True,0.5004,0.8,0.4428,0.2308,0.4183,0.6102,0.5937,0.5011,0.2478,0.4421,0.5237,False
3,1.0,True,0.8072,0.953,0.8144,0.7024,0.7234,0.8429,0.7135,0.6055,0.3993,0.5358,0.6301,True
4,1.0,True,0.6232,0.6122,0.9041,0.2881,0.5114,0.8,0.7884,0.7204,0.4071,0.551,0.751,True
5,1.0,True,0.9205,1.0,0.8621,0.9231,0.9933,0.8242,0.8551,0.8602,0.6379,0.7427,0.8223,True
6,1.0,True,0.5314,0.5068,0.5226,0.3151,0.6276,0.6849,0.7063,0.7629,0.5088,0.7108,0.7697,True
7,1.0,True,0.8373,0.9286,0.7209,0.7705,0.9116,0.8551,0.8118,0.7019,0.6696,0.8442,0.7881,True
8,1.0,True,0.8253,0.8606,1.0,0.4248,0.8974,0.9437,0.7653,0.7479,0.5035,0.8122,0.8279,True
9,1.0,True,0.7023,0.75,0.5547,0.7812,0.6757,0.75,0.8464,0.7585,0.6589,0.8282,0.8496,True
10,1.0,True,0.8135,0.9045,0.6796,0.8921,0.782,0.8092,0.8384,0.7448,0.6994,0.785,0.8343,True
11,1.0,True,0.5357,0.53,0.7109,0.3125,0.7129,0.4121,0.7282,0.6484,0.6619,0.7235,0.6571,True
12,1.0,True,0.4833,0.6467,0.5149,0.2922,0.4327,0.5299,0.6937,0.6351,0.4989,0.6425,0.5837,True
13,1.0,True,0.9169,0.913,0.9209,0.8636,0.9286,0.9583,0.6966,0.7155,0.4894,0.6914,0.6334,True
14,1.0,True,0.7387,0.9655,0.5738,0.7947,0.674,0.6854,0.8418,0.6699,0.6502,0.6784,0.7245,True
15,1.0,True,0.5812,0.4481,0.9796,0.1987,0.531,0.7487,0.7756,0.8248,0.619,0.7112,0.7975,True
16,1.0,True,0.49,0.6218,0.5178,0.2489,0.5744,0.4872,0.6785,0.6904,0.4141,0.5931,0.6404,True
17,1.0,True,0.5134,0.5751,0.6439,0.2045,0.5471,0.5963,0.5483,0.7138,0.2174,0.5508,0.6107,True
18,1.0,True,0.8567,1.0,0.9209,0.8951,0.7732,0.6944,0.7323,0.6942,0.4495,0.6315,0.5927,True
19,1.0,True,0.4791,0.487,0.3145,0.776,0.3958,0.4225,0.6874,0.6264,0.6252,0.572,0.5711,True
20,1.0,True,0.821,0.9605,0.5149,0.7258,0.9241,0.9796,0.8158,0.5834,0.799,0.6977,0.6989,True
